,TV,Radio,Newspaper,Sales,Facebook
0,2301000.0,37800.0,692000.0,22100000.0,1384000.0
1,445000.0,39300.0,451000.0,10400000.0,902000.0
2,172000.0,45900.0,693000.0,9300000.0,1386000.0
3,1515000.0,41300.0,585000.0,18500000.0,1170000.0
4,1808000.0,10800.0,584000.0,12900000.0,1168000.0
5,87000.0,48900.0,750000.0,7200000.0,1500000.0
6,575000.0,32800.0,235000.0,11800000.0,470000.0
7,1202000.0,19600.0,116000.0,13200000.0,232000.0
8,86000.0,2100.0,10000.0,4800000.0,20000.0
9,1998000.0,2600.0,212000.0,10600000.0,424000.0
10,661000.0,5800.0,242000.0,8600000.0,484000.0
11,2147000.0,24000.0,40000.0,17400000.0,80000.0
12,238000.0,35100.0,659000.0,9200000.0,1318000.0
13,975000.0,7600.0,72000.0,9700000.0,144000.0
14,2041000.0,32900.0,460000.0,19000000.0,920000.0
15,1954000.0,47700.0,529000.0,22400000.0,1058000.0
16,678000.0,36600.0,1140000.0,12500000.0,2280000.0
17,2814000.0,39600.0,558000.0,24400000.0,1116000.0
18,692000.0,20500.0,183000.0,11300000.0,366000.0
19,1473000.0,23900.0,191000.0,14600000.0,382000.0
20,2184000.0,27700.0,534000.0,18000000.0,1068000.0
21,2374000.0,5100.0,235000.0,12500000.0,470000.0
22,132000.0,15900.0,496000.0,5600000.0,992000.0
23,2283000.0,16900.0,262000.0,15500000.0,524000.0
24,623000.0,12600.0,183000.0,9700000.0,366000.0
25,2629000.0,3500.0,195000.0,12000000.0,390000.0
26,1429000.0,29300.0,126000.0,15000000.0,252000.0
27,2401000.0,16700.0,229000.0,15900000.0,458000.0
28,2488000.0,27100.0,229000.0,18900000.0,458000.0
29,706000.0,16000.0,408000.0,10500000.0,816000.0
30,2929000.0,28300.0,432000.0,21400000.0,864000.0
31,1129000.0,17400.0,386000.0,11900000.0,772000.0
32,972000.0,1500.0,300000.0,9600000.0,600000.0
33,2656000.0,20000.0,3000.0,17400000.0,6000.0
34,957000.0,1400.0,74000.0,9500000.0,148000.0
35,2907000.0,4100.0,85000.0,12800000.0,170000.0
36,2669000.0,43800.0,50000.0,25400000.0,100000.0
37,747000.0,49400.0,457000.0,14700000.0,914000.0
38,431000.0,26700.0,351000.0,10100000.0,702000.0
39,2280000.0,37700.0,320000.0,21500000.0,640000.0
40,2025000.0,22300.0,316000.0,16600000.000000002,632000.0
41,1770000.0,33400.0,387000.0,17100000.0,774000.0
42,2936000.0,27700.0,18000.0,20700000.0,36000.0
43,2069000.0,8400.0,264000.0,12900000.0,528000.0
44,251000.0,25700.0,433000.0,8500000.0,866000.0
45,1751000.0,22500.0,315000.0,14900000.0,630000.0
46,897000.0,9900.0,357000.0,10600000.0,714000.0
47,2399000.0,41500.0,185000.0,23200000.0,370000.0
48,2272000.0,15800.0,499000.0,14800000.0,998000.0
49,669000.0,11700.0,368000.0,9700000.0,736000.0
50,1998000.0,3100.0,346000.0,11400000.0,692000.0
51,1004000.0,9600.0,36000.0,10700000.0,72000.0
52,2164000.0,41700.0,396000.0,22600000.0,792000.0
53,1826000.0,46200.0,587000.0,21200000.0,1174000.0
54,2627000.0,28800.0,159000.0,20200000.0,318000.0
55,1989000.0,49400.0,600000.0,23700000.0,1200000.0
56,73000.0,28100.0,414000.0,5500000.0,828000.0
57,1362000.0,19200.0,166000.0,13200000.0,332000.0
58,2108000.0,49600.0,377000.0,23800000.0,754000.0
59,2107000.0,29500.0,93000.0,18400000.0,186000.0
60,535000.0,2000.0,214000.0,8100000.0,428000.0
61,2613000.0,42700.0,547000.0,24200000.0,1094000.0
62,2393000.0,15500.0,273000.0,15700000.0,546000.0
63,1027000.0,29600.0,84000.0,14000000.0,168000.0
64,1311000.0,42800.0,289000.0,18000000.0,578000.0
65,690000.0,9300.0,9000.0,9300000.0,18000.0
66,315000.0,24600.0,22000.0,9500000.0,44000.0
67,1393000.0,14500.0,102000.0,13400000.0,204000.0
68,2374000.0,27500.0,110000.0,18900000.0,220000.0
69,2168000.0,43900.0,272000.0,22300000.0,544000.0
70,1991000.0,30600.0,387000.0,18300000.0,774000.0
71,1098000.0,14300.0,317000.0,12400000.0,634000.0
72,268000.0,33000.0,193000.0,8800000.0,386000.0
73,1294000.0,5700.0,313000.0,11000000.0,626000.0
74,2134000.0,24600.0,131000.0,17000000.0,262000.0
75,169000.0,43700.0,894000.0,8700000.0,1788000.0
76,275000.0,1600.0,207000.0,6900000.0,414000.0
77,1205000.0,28500.0,142000.0,14200000.0,284000.0
78,54000.0,29900.0,94000.0,5300000.0,188000.0
79,1160000.0,7700.0,231000.0,11000000.0,462000.0
80,764000.0,26700.0,223000.0,11800000.0,446000.0
81,2398000.0,4100.0,369000.0,12300000.0,738000.0
82,753000.0,20300.0,325000.0,11300000.0,650000.0
83,684000.0,44500.0,356000.0,13600000.0,712000.0
84,2135000.0,43000.0,338000.0,21700000.0,676000.0
85,1932000.0,18400.0,657000.0,15200000.0,1314000.0
86,763000.0,27500.0,160000.0,12000000.0,320000.0
87,1107000.0,40600.0,632000.0,16000000.0,1264000.0
88,883000.0,25500.0,734000.0,12900000.0,1468000.0
89,1098000.0,47800.0,514000.0,16700000.0,1028000.0
90,1343000.0,4900.0,93000.0,11200000.0,186000.0
91,286000.0,1500.0,330000.0,7300000.0,660000.0
92,2177000.0,33500.0,590000.0,19400000.0,1180000.0
93,2509000.0,36500.0,723000.0,22200000.0,1446000.0
94,1074000.0,14000.0,109000.0,11500000.0,218000.0
95,1633000.0,31600.0,529000.0,16900000.0,1058000.0
96,1976000.0,3500.0,59000.0,11700000.0,118000.0
97,1849000.0,21000.0,220000.0,15500000.0,440000.0
98,2897000.0,42300.0,512000.0,25400000.0,1024000.0
99,1352000.0,41700.0,459000.0,17200000.0,918000.0
100,2224000.0,4300.0,498000.0,11700000.0,996000.0
101,2964000.0,36300.0,1009000.0,23800000.0,2018000.0
102,2802000.0,10100.0,214000.0,14800000.0,428000.0
103,1879000.0,17200.0,179000.0,14700000.0,358000.0
104,2382000.0,34300.0,53000.0,20700000.0,106000.0
105,1379000.0,46400.0,590000.0,19200000.0,1180000.0
106,250000.0,11000.0,297000.0,7200000.0,594000.0
107,904000.0,300.0,232000.0,8700000.0,464000.0
108,131000.0,400.0,256000.0,5300000.0,512000.0
109,2554000.0,26900.0,55000.0,19800000.0,110000.0
110,2258000.0,8200.0,565000.0,13400000.0,1130000.0
111,2417000.0,38000.0,232000.0,21800000.0,464000.0
112,1757000.0,15400.0,24000.0,14100000.0,48000.0
113,2096000.0,20600.0,107000.0,15900000.0,214000.0
114,782000.0,46800.0,345000.0,14600000.0,690000.0
115,751000.0,35000.0,527000.0,12600000.0,1054000.0
116,1392000.0,14300.0,256000.0,12200000.0,512000.0
117,764000.0,800.0,148000.0,9400000.0,296000.0
118,1257000.0,36900.0,792000.0,15900000.0,1584000.0
119,194000.0,16000.0,223000.0,6600000.0,446000.0
120,1413000.0,26800.0,462000.0,15500000.0,924000.0
121,188000.0,21700.0,504000.0,7000000.0,1008000.0
122,2240000.0,2400.0,156000.0,11600000.0,312000.0
123,1231000.0,34600.0,124000.0,15200000.0,248000.0
124,2295000.0,32299.999999999996,742000.0,19700000.0,1484000.0
125,872000.0,11800.0,259000.0,10600000.0,518000.0
126,78000.0,38900.0,506000.0,6600000.0,1012000.0
127,802000.0,0.0,92000.0,8800000.0,184000.0
